variance,speedKmh,class
1.422052176898186637e+00,1.977758084760354862e+01,2.000000000000000000e+00
8.328390813874463339e-01,9.390102080861505840e+01,3.000000000000000000e+00
7.076073132931938459e-02,2.595157025436913845e-01,0.000000000000000000e+00
1.635825456807445732e+00,5.409039363941679568e+01,3.000000000000000000e+00
5.009974557960914648e-02,2.077368307647618484e-01,0.000000000000000000e+00
-5.028517331521417666e-04,1.353427115757473431e-01,0.000000000000000000e+00
2.758990251942475824e-01,6.037699245889695021e+01,3.000000000000000000e+00
1.301280798622560519e+00,4.152403018054147132e+00,1.000000000000000000e+00
1.708936910487011351e+00,4.858166848013851791e+00,1.000000000000000000e+00
3.011153283408706249e-01,6.293586023971099053e+01,3.000000000000000000e+00
2.368379430069123340e-02,3.755340842443204430e-01,0.000000000000000000e+00
2.351317732619516931e+00,1.599278178402025041e+01,2.000000000000000000e+00
2.229815184960087127e+00,1.201879307228563398e+01,2.000000000000000000e+00
2.171190601483207416e+00,1.520019612278041166e+01,2.000000000000000000e+00
1.505213766618202165e+00,1.936766331624482262e+01,2.000000000000000000e+00
4.602732815527209587e-01,3.240763670422138887e+01,3.000000000000000000e+00
1.046635297070644510e+00,5.935646290814229786e+00,1.000000000000000000e+00
2.793515152780190469e+00,2.313512544042703212e+01,2.000000000000000000e+00
2.221905735989555097e+00,1.763715555417665470e+01,2.000000000000000000e+00
2.696799304788365798e-02,2.203463635867223269e-01,0.000000000000000000e+00
1.139086384187102174e+00,5.045200557898099625e+00,1.000000000000000000e+00
4.809963421921911036e-02,6.172002690356639953e-02,0.000000000000000000e+00
5.731510388340242679e-02,1.138715798671736390e-01,0.000000000000000000e+00
1.532987252540897849e+00,2.152042157245597309e+01,2.000000000000000000e+00
3.244187352390364154e+00,1.962438818461436441e+01,2.000000000000000000e+00
3.930576460589513266e-02,2.224092481810416855e-01,0.000000000000000000e+00
6.614285508564857197e-02,2.491919171506505881e-01,0.000000000000000000e+00
6.802276788923771189e-01,7.416428846513113626e+01,3.000000000000000000e+00
9.821220834282042844e-01,7.905749094405877031e+01,3.000000000000000000e+00
3.419876203169636586e+00,2.078352038424371173e+01,2.000000000000000000e+00
1.156691876422817122e+00,6.230603778644367985e+00,1.000000000000000000e+00
9.411094700488877862e-01,4.388259867007622006e+01,3.000000000000000000e+00
2.161151531532393838e-02,1.240867338446302037e-01,0.000000000000000000e+00
2.727204466310770847e-01,4.691848633745152597e+01,3.000000000000000000e+00
6.387624236922432308e-01,4.565827191420339659e+00,1.000000000000000000e+00
1.587117168498829667e+00,1.249138388069011008e+01,2.000000000000000000e+00
6.166102486350553968e-02,1.014273953664456274e-01,0.000000000000000000e+00
1.046995080343575912e+00,4.893961011206519274e+00,1.000000000000000000e+00
1.903252702683179698e-01,6.246409613568971508e+01,3.000000000000000000e+00
4.163748278772645001e-02,1.424181759355320209e-01,0.000000000000000000e+00
1.433243543465979597e-01,9.279929058742786196e+01,3.000000000000000000e+00
2.635033865344377446e+00,1.835874110524245850e+01,2.000000000000000000e+00
2.087683425001487958e+00,2.282203672805997741e+01,2.000000000000000000e+00
1.726438254595309196e+00,4.865402575323027001e+00,1.000000000000000000e+00
1.373121638154161994e+00,4.468355876914675839e+00,1.000000000000000000e+00
1.607586751838658429e-02,2.813509636000638414e-01,0.000000000000000000e+00
2.724776357659667525e+00,1.588496443272477343e+01,2.000000000000000000e+00
1.511261983277369714e+00,4.633161766570444762e+00,1.000000000000000000e+00
2.396742692710875033e+00,1.437107694392638280e+01,2.000000000000000000e+00
1.221469871165817622e+00,4.460429032278053540e+00,1.000000000000000000e+00
4.342736562379941045e-02,1.506999065341167177e-01,0.000000000000000000e+00
5.830804235404148106e-02,1.174502803207488483e-01,0.000000000000000000e+00
1.377930377390515160e+00,5.977309596838132677e+00,1.000000000000000000e+00
1.322475826714341496e+00,3.726419085496629702e+00,1.000000000000000000e+00
4.692896418993951213e-02,1.400624977046227293e-01,0.000000000000000000e+00
